Account ID,Total Share
0.0.704472,166666666.6342
0.0.2135513,166666666.6342
0.0.3863437,249999999.9513
0.0.1280779,499999999.9026
0.0.2007347,83333333.3171
0.0.2121560,333333333.2684
0.0.1757800,666666666.5368
0.0.657657,166666666.6342
0.0.1067445,166666666.6342
0.0.1843650,166666666.6342
0.0.456604,83333333.3171
0.0.2198536,83333333.3171
0.0.1498096,83333333.3171
0.0.2580189,83333333.3171
0.0.2159637,83333333.3171
0.0.355724,83333333.3171
0.0.1431636,83333333.3171
0.0.2104123,83333333.3171
0.0.585529,83333333.3171
